"","Year","Month","State","Location","Food","Species","Ingredient","Serotype.Genotype","Illnesses","Hospitalizations","Fatalities","Status"
"243",1998,3,10,1,133,7,6,9,3,0.94752807538402,0.0217167160716587,1
"244",1998,3,10,1,134,7,6,9,2,0.94752807538402,0.0217167160716587,1
"245",1998,3,10,1,42,7,6,9,5,0.94752807538402,0.0217167160716587,1
"246",1998,3,10,1,37,7,6,9,11,0.94752807538402,0.0217167160716587,1
"247",1998,3,10,1,135,7,6,9,2,0,0,1
"248",1998,3,10,1,136,7,6,9,2,1,0,1
"249",1998,3,10,1,137,7,6,9,3,0.94752807538402,0.0217167160716587,1
"250",1998,3,10,1,138,7,6,9,15,0,0,1
"251",1998,3,11,1,139,15,6,9,30,1,0,1
"252",1998,3,11,1,140,7,6,9,7,0,0,1
"253",1998,3,11,1,37,7,6,9,4,0,0,1
"254",1998,3,25,5,37,7,6,9,12,0.94752807538402,0.0217167160716587,1
"255",1998,3,29,1,141,8,6,9,20,3,0,1
"256",1998,3,13,1,37,7,6,9,17,0,0,1
"257",1998,3,13,1,16,7,6,9,5,0.94752807538402,0.0217167160716587,1
"258",1998,3,13,1,37,7,6,9,47,0.94752807538402,0.0217167160716587,1
"259",1998,3,13,1,6,7,6,9,14,0,0,1
"260",1998,3,13,1,37,7,6,9,9,0,0,1
"261",1998,3,14,1,37,3,6,9,9,0.94752807538402,0.0217167160716587,1
"262",1998,3,14,14,138,7,6,9,75,0.94752807538402,0.0217167160716587,1
"263",1998,3,15,1,17,7,6,9,2,0,0,1
"264",1998,3,15,3,37,7,6,9,8,1,0,1
"265",1998,3,15,1,37,7,6,9,3,0,0,1
"266",1998,3,15,1,37,7,6,9,5,0,0,1
"267",1998,3,15,1,37,7,6,9,49,0,0,1
"268",1998,3,15,1,37,3,6,4,7,0.94752807538402,0.0217167160716587,1
"269",1998,3,15,1,37,7,6,9,5,0,0,1
"270",1998,3,15,1,37,7,6,9,7,0.94752807538402,0,1
"271",1998,3,15,1,37,7,6,9,2,0,0,1
"272",1998,3,15,1,55,7,6,9,3,0,0,1
"273",1998,3,15,1,128,3,6,10,4,1,0,1
"274",1998,3,16,1,37,7,6,9,28,1,0,0
"275",1998,3,16,1,17,8,6,9,5,0,0,1
"276",1998,3,17,1,37,7,6,9,16,0,0,1
"277",1998,3,17,1,37,7,6,9,3,0,0,1
"278",1998,3,17,1,142,7,6,9,3,0,0,1
"279",1998,3,17,5,143,3,6,11,25,1,0,1
"280",1998,3,30,1,37,7,6,9,48,0,0,1
"281",1998,3,18,1,37,5,6,9,78,0.94752807538402,0.0217167160716587,0
"282",1998,3,18,7,144,19,6,9,125,60,0,1
"283",1998,3,31,3,37,3,6,2,7,1,0,0
"284",1998,3,19,1,145,3,6,2,23,5,0,1
"285",1998,3,19,1,37,5,6,9,28,0.94752807538402,0.0217167160716587,0
"286",1998,3,19,1,146,7,6,9,8,0.94752807538402,0.0217167160716587,1
"287",1998,3,19,1,37,7,6,9,56,1,0,1
"288",1998,3,20,1,147,2,6,9,2,0,0,1
"289",1998,3,20,1,37,14,6,9,8,0,0,1
"290",1998,3,20,1,37,7,6,9,2,0,0,1
"291",1998,3,20,1,37,7,6,9,2,0,0,1
"292",1998,3,20,1,37,7,6,9,16,0,0,1
"293",1998,3,20,1,37,7,6,9,3,6,0,1
"294",1998,3,20,1,37,7,6,9,8,0.94752807538402,0.0217167160716587,1
"295",1998,3,20,1,37,7,6,9,2,0,0,1
"296",1998,3,21,1,37,7,6,9,65,1,0,1
"297",1998,4,1,1,37,7,6,9,15,0.94752807538402,0.0217167160716587,1
