"","Year","Illnesses","Hospitalizations","Fatalities","status","month","state","location","species","ingredient","serotype.Genotype","food"
"395",1998,6,0.94752807538402,0.0217167160716587,1,4,19,1,2,6,9,147
"396",1998,67,0.94752807538402,0.0217167160716587,1,4,19,1,7,6,9,6
"397",1998,9,0.94752807538402,0,1,4,19,5,3,6,11,190
"398",1998,27,0.94752807538402,0.0217167160716587,1,4,20,10,7,6,9,37
"399",1998,3,0,0,1,4,20,3,23,6,9,191
"400",1998,2,0,0,1,4,20,1,7,6,9,37
"401",1998,2,0,0,1,4,20,1,7,6,9,37
"402",1998,8,0,0,1,4,20,1,7,6,9,37
"403",1998,5,0,0,1,4,20,1,7,6,9,192
"404",1998,22,1,0,1,4,21,1,7,6,9,37
"405",1998,13,0,0,1,4,21,1,7,6,9,37
"406",1998,38,0.94752807538402,0.0217167160716587,2,5,1,5,5,6,9,37
"407",1998,100,0.94752807538402,0.0217167160716587,1,5,1,1,7,6,9,193
"408",1998,40,0.94752807538402,0.0217167160716587,1,5,1,1,7,6,9,37
"409",1998,6,3,0,1,5,1,1,3,6,14,37
"410",1998,31,0,0,1,5,1,1,7,6,9,37
"411",1998,6,0,0,1,5,1,1,7,6,9,37
"412",1998,13,0,0,1,5,1,3,7,6,9,37
"413",1998,8,0,0,1,5,1,3,12,6,9,194
"414",1998,3,1,0,1,5,1,1,24,6,15,37
"415",1998,30,0,0,1,5,1,3,7,6,9,195
"416",1998,10,0,0,1,5,1,3,7,6,9,37
"417",1998,16,0,0,1,5,1,5,7,6,9,37
"418",1998,15,0,0,1,5,1,3,7,6,9,37
"419",1998,16,0,0,1,5,1,3,7,6,9,195
"420",1998,61,0,0,1,5,1,1,7,6,9,37
"421",1998,5,0,0,1,5,1,1,7,6,9,191
"422",1998,6,0.94752807538402,0.0217167160716587,2,5,2,1,5,6,9,196
"423",1998,2,0,0,2,5,3,1,6,6,9,37
"424",1998,3,0,0,1,5,3,1,7,6,9,44
"425",1998,3,0,0,1,5,3,1,7,6,9,42
"426",1998,5,0.94752807538402,0.0217167160716587,2,5,3,1,6,6,9,37
"427",1998,3,0,0,2,5,3,1,3,6,9,6
"428",1998,23,0,0,2,5,3,1,7,6,9,151
"429",1998,7,0,0,1,5,3,1,7,6,9,91
"430",1998,2,0,0,1,5,3,1,7,6,9,197
"431",1998,3,0,0,1,5,3,1,7,6,9,91
"432",1998,3,0,0,1,5,3,1,7,6,9,34
"433",1998,3,0,0,1,5,3,1,7,6,9,198
"434",1998,2,0,0,1,5,3,1,7,6,9,185
"435",1998,2,0,0,1,5,3,1,7,6,9,199
"436",1998,2,0,0,1,5,3,1,7,6,9,200
"437",1998,2,0,0,2,5,3,1,8,6,9,29
"438",1998,2,0,0,2,5,3,1,9,6,9,201
"439",1998,2,0,0,2,5,3,1,6,6,9,202
"440",1998,2,2,0,1,5,3,1,7,6,9,16
