"","Illnesses","Hospitalizations","Fatalities","location","food","species","month","state","ingredient"
"420",6,0.905161734342739,0.0187628865979381,1,196,5,5,2,6
"421",2,0,0,1,37,6,5,3,6
"422",3,0,0,1,44,7,5,3,6
"423",3,0,0,1,42,7,5,3,6
"424",5,0.905161734342739,0.0187628865979381,1,37,6,5,3,6
"425",3,0,0,1,6,3,5,3,6
"426",23,0,0,1,151,7,5,3,6
"427",7,0,0,1,91,7,5,3,6
"428",2,0,0,1,197,7,5,3,6
"429",3,0,0,1,91,7,5,3,6
"430",3,0,0,1,34,7,5,3,6
"431",3,0,0,1,198,7,5,3,6
"432",2,0,0,1,185,7,5,3,6
"433",2,0,0,1,199,7,5,3,6
"434",2,0,0,1,200,7,5,3,6
"435",2,0,0,1,29,8,5,3,6
"436",2,0,0,1,201,9,5,3,6
"437",2,0,0,1,202,6,5,3,6
"438",2,2,0,1,16,7,5,3,6
"439",2,2,2,1,10,7,5,3,6
"440",7,0,0,1,203,9,5,3,6
"441",2,0,0,1,204,8,5,3,6
"442",3,0,0,1,65,7,5,3,6
"443",3,0,0,1,15,8,5,3,6
"444",2,0,0,1,91,7,5,3,6
"445",2,0,0,1,205,7,5,3,6
"446",2,0,0,1,74,7,5,3,6
"447",2,0,0,1,147,7,5,3,6
"448",8,0,0,1,109,7,5,3,6
"449",2,0,0,1,206,6,5,3,6
"450",2,0,0,1,207,8,5,3,6
"451",3,1,0,1,6,7,5,3,6
"452",4,0,0,1,185,9,5,3,6
"453",6,4,0,3,208,12,5,3,6
"454",18,0,0,1,6,7,5,3,6
"455",7,0,0,1,209,11,5,3,6
"456",17,0.905161734342739,0.0187628865979381,1,37,23,5,32,6
"457",27,0,0,1,37,7,5,32,6
"458",2,0,0,3,210,12,5,5,6
"459",15,0,0,1,211,8,5,5,6
"460",2,0,0,1,212,2,5,5,6
"461",15,1,0,1,37,7,5,6,6
"462",32,0.905161734342739,0.0187628865979381,1,213,7,5,6,6
"463",25,5,0,1,37,3,5,6,6
"464",25,0,0,1,214,7,5,6,6
"465",36,0,0,1,37,7,5,6,6
"466",13,0,0,1,215,7,5,6,6
"467",10,7,0,1,37,3,5,7,6
"468",27,6,0,1,120,22,5,7,6
"469",51,0,0,1,59,18,5,33,6
"470",4,0,0,1,37,7,5,34,6
"471",5,0,0,1,37,7,5,34,6
"472",30,0.905161734342739,0.0187628865979381,1,216,8,5,36,6
"473",12,0.905161734342739,0.0187628865979381,3,217,24,5,35,3
"474",5,0,0,1,37,7,5,37,6
"475",3,0,0,1,37,7,5,37,6
"476",2,0.905161734342739,0.0187628865979381,1,118,7,5,8,6
"477",3,0.905161734342739,0.0187628865979381,1,218,2,5,8,6
"478",4,0.905161734342739,0.0187628865979381,1,37,7,5,8,6
"479",3,0.905161734342739,0.0187628865979381,1,219,7,5,8,6
"480",11,0.905161734342739,0.0187628865979381,1,139,7,5,8,6
"481",2,0.905161734342739,0.0187628865979381,1,12,7,5,8,6
"482",4,0,0,4,195,7,5,8,6
"483",3,0.905161734342739,0.0187628865979381,1,138,7,5,8,6
"484",16,0.905161734342739,0.0187628865979381,1,37,3,5,8,6
"485",4,0.905161734342739,0.0187628865979381,1,37,7,5,8,6
"486",4,0.905161734342739,0.0187628865979381,1,37,7,5,8,6
"487",5,0.905161734342739,0.0187628865979381,1,37,7,5,8,6
"488",6,0.905161734342739,0.0187628865979381,1,37,7,5,10,6
"489",2,0.905161734342739,0.0187628865979381,1,144,7,5,10,6
"490",2,0.905161734342739,0.0187628865979381,1,220,7,5,10,6
"491",2,0.905161734342739,0.0187628865979381,1,221,7,5,10,6
"492",2,0.905161734342739,0.0187628865979381,1,222,7,5,10,6
"493",13,0.905161734342739,0.0187628865979381,1,37,7,5,10,6
"494",3,0.905161734342739,0,1,89,7,5,10,6
"495",5,0,0,1,8,7,5,10,6
"496",4,0.905161734342739,0,1,8,7,5,10,6
"497",15,0.905161734342739,0.0187628865979381,1,37,7,5,10,6
"498",16,0,0,1,80,7,5,10,6
"499",15,0,0,7,21,7,5,10,6
"500",3,0,0,1,223,7,5,11,6
"501",12,0,0,1,224,7,5,11,6
"502",7,0,0,1,185,9,5,11,6
"503",13,0,0,3,37,7,5,11,6
"504",171,0.905161734342739,0.0187628865979381,1,191,18,5,12,6
"505",34,10,0,1,29,22,5,12,6
"506",4,0,0,1,225,3,5,12,6
"507",30,0,0,5,226,7,5,24,6
"508",39,0,0,11,37,8,5,26,6
"509",42,0,0,5,37,7,5,26,6
"510",15,0.905161734342739,0.0187628865979381,7,37,7,5,13,6
"511",44,1,0,17,215,7,5,13,6
"512",21,0.905161734342739,0.0187628865979381,14,227,25,5,13,6
"513",5,0.905161734342739,0,5,215,7,5,13,6
"514",4,0,0,1,37,7,5,13,6
"515",2,0,0,1,37,7,5,15,6
"516",2,0,0,1,37,7,5,15,6
"517",12,0.905161734342739,0,1,228,7,5,15,6
"518",20,0,0,1,37,7,5,16,6
"519",9,0,0,1,37,7,5,16,6
"520",3,0,0,1,37,3,5,17,6
"521",11,1,0,1,37,7,5,17,6
"522",10,0,0,1,229,7,5,38,6
"523",264,12,0,1,6,3,5,30,6
"524",5,0.905161734342739,0.0187628865979381,1,37,7,5,18,6
"525",141,0.905161734342739,0.0187628865979381,7,37,7,5,18,6
"526",50,0.905161734342739,0.0187628865979381,1,230,6,5,18,6
"527",400,14,0,1,117,11,5,18,6
"528",4,0,0,1,37,3,5,31,6
"529",8,0.905161734342739,0.0187628865979381,3,74,22,5,19,6
"530",5,0.905161734342739,0.0187628865979381,3,74,22,5,19,6
"531",51,0,0,1,18,7,5,20,6
"532",9,3,0,3,231,3,5,20,6
"533",2,0,0,1,37,7,5,20,6
"534",3,0,0,1,37,7,5,20,6
"535",10,0,0,1,144,7,5,20,6
"536",15,0,0,1,37,7,5,21,6
"537",16,0,0,7,232,26,5,21,6
"538",3,3,0,3,125,27,6,39,6
"539",16,1,0,1,37,3,6,1,6
"540",4,1,0,1,191,11,6,1,6
"541",100,0,0,5,37,7,6,1,6
"542",8,2,0,1,233,22,6,1,6
"543",93,0,0,1,139,18,6,1,6
"544",3,0,0,1,3,2,6,1,6
"545",7,0,0,1,37,7,6,1,6
"546",11,0,0,1,109,7,6,1,6
"547",8,0,0,1,37,7,6,1,6
"548",17,1,0,1,37,7,6,1,6
"549",13,0.905161734342739,0.0187628865979381,3,207,6,6,2,7
"550",4,0.905161734342739,0.0187628865979381,1,234,8,6,3,6
"551",3,1,0,1,89,3,6,3,6
"552",2,0,0,1,185,9,6,3,6
"553",2,0,0,1,115,7,6,3,6
"554",3,0,0,1,10,7,6,3,6
"555",2,0,0,1,235,7,6,3,6
"556",5,0,0,1,236,6,6,3,6
"557",2,0,0,1,237,8,6,3,6
"558",2,0,0,1,92,7,6,3,6
"559",6,0,0,1,238,7,6,3,6
"560",2,0,0,1,239,7,6,3,6
"561",8,1,0,1,146,9,6,3,6
"562",3,0,0,1,37,7,6,3,6
