"","Year","Illnesses","Hospitalizations","Fatalities","status","location","food","species","month","state","ingredient","serotype.Genotype"
"299",1998,19,0,0,1,1,NA,7,4,1,6,9
"300",1998,11,0,0,1,5,NA,7,4,1,6,9
"301",1998,39,0,0,1,NA,148,7,4,1,6,9
"302",1998,7,NA,0,1,3,NA,3,4,1,6,12
"303",1998,7,0,0,1,1,109,7,4,1,6,9
"304",1998,11,0,0,1,1,149,6,4,1,6,9
"305",1998,2,NA,0,0,1,112,9,4,2,6,9
"306",1998,11,NA,0,0,5,6,5,4,2,6,9
"307",1998,12,NA,0,0,5,NA,5,4,2,6,9
"308",1998,40,NA,NA,1,15,62,19,4,3,6,9
"309",1998,2,NA,NA,0,NA,110,3,4,3,6,9
"310",1998,4,0,0,0,1,150,8,4,3,6,9
"311",1998,2,0,0,1,NA,37,3,4,3,6,2
"312",1998,27,0,0,0,NA,151,7,4,3,6,9
"313",1998,4,0,0,0,1,64,3,4,3,6,2
"314",1998,2,0,0,1,1,92,7,4,3,6,9
"315",1998,2,0,0,1,1,64,7,4,3,6,9
"316",1998,3,0,0,0,5,101,6,4,3,6,9
"317",1998,4,0,0,0,1,152,6,4,3,6,9
"318",1998,3,1,0,0,1,153,5,4,3,6,9
"319",1998,2,0,0,1,1,154,7,4,3,6,9
"320",1998,3,1,0,0,1,65,3,4,3,6,9
"321",1998,4,0,0,1,1,155,7,4,3,6,9
"322",1998,3,0,0,1,1,156,7,4,3,6,9
"323",1998,5,0,0,0,1,157,11,4,3,6,9
"324",1998,12,2,0,0,3,158,7,4,3,6,9
"325",1998,3,0,0,0,1,159,9,4,3,6,9
"326",1998,3,2,0,1,1,12,7,4,3,6,9
"327",1998,3,0,0,0,1,160,8,4,3,6,9
"328",1998,6,0,0,0,1,37,6,4,3,6,9
"329",1998,2,0,0,0,1,161,9,4,3,6,9
"330",1998,2,0,0,1,1,17,7,4,3,6,9
"331",1998,2,0,0,1,1,162,7,4,3,6,9
"332",1998,2,0,0,1,1,17,7,4,3,6,9
"333",1998,51,NA,NA,1,NA,6,19,4,32,6,9
"334",1998,19,0,0,1,1,NA,7,4,5,6,9
"335",1998,5,0,0,1,3,163,12,4,5,6,9
"336",1998,46,1,0,1,7,NA,3,4,6,6,11
"337",1998,18,NA,NA,1,1,24,6,4,7,6,9
"338",1998,53,0,0,0,1,81,6,4,33,6,9
"339",1998,30,0,0,1,5,NA,7,4,34,6,9
"340",1998,65,0,0,1,14,164,6,4,35,6,9
"341",1998,47,5,0,1,7,125,15,4,35,6,9
"342",1998,15,NA,NA,1,4,165,7,4,8,6,9
"343",1998,19,NA,NA,1,1,NA,7,4,8,6,9
"344",1998,3,NA,NA,1,1,166,7,4,8,6,9
"345",1998,5,NA,NA,1,1,167,7,4,8,6,9
"346",1998,4,0,0,1,1,NA,7,4,8,6,9
"347",1998,3,NA,NA,1,1,42,7,4,8,6,9
"348",1998,5,NA,NA,1,1,NA,7,4,8,6,9
"349",1998,2,NA,NA,1,1,168,7,4,8,6,9
"350",1998,32,NA,NA,1,4,169,7,4,8,6,9
"351",1998,6,NA,NA,1,1,NA,7,4,8,6,9
"352",1998,3,NA,NA,1,1,NA,7,4,8,6,9
"353",1998,71,2,0,1,5,170,7,4,9,6,9
"354",1998,33,NA,0,1,NA,NA,7,4,9,6,9
"355",1998,3,NA,NA,1,1,15,7,4,10,6,9
"356",1998,4,NA,NA,1,NA,171,7,4,10,6,9
"357",1998,5,NA,NA,1,14,43,7,4,10,6,9
"358",1998,4,NA,NA,1,NA,42,7,4,10,6,9
"359",1998,2,NA,NA,1,5,172,7,4,10,6,9
"360",1998,25,NA,NA,1,5,138,9,4,10,6,9
"361",1998,7,NA,NA,1,1,173,7,4,10,6,9
"362",1998,4,0,0,1,1,16,7,4,10,6,9
"363",1998,2,0,0,1,1,174,7,4,10,6,9
